chain_network_id,support_tier,catalog_state,label_readiness,runtime_readiness,catalog_status,normalizer_status,mqnode_parser_status,asset_resolver_status,current_label_status,timeline_status,metric_status,mqnode_integration_test_ref,metric_integration_test_ref,notes,last_verified_at
23,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Network-specific normalizer vector pending,2026-07-17
24,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Network-specific normalizer vector pending,2026-07-17
25,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Network-specific normalizer vector pending,2026-07-17
26,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Network-specific normalizer vector pending,2026-07-17
27,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Network-specific normalizer vector pending,2026-07-17
28,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Network-specific normalizer vector pending,2026-07-17
29,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
30,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
31,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
32,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,HRP-aware normalizer not implemented,2026-07-17
33,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,HRP-aware normalizer not implemented,2026-07-17
34,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,HRP-aware normalizer not implemented,2026-07-17
35,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,HRP-aware normalizer not implemented,2026-07-17
36,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,HRP-aware normalizer not implemented,2026-07-17
37,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,HRP-aware normalizer not implemented,2026-07-17
38,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,HRP-aware normalizer not implemented,2026-07-17
39,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
40,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
41,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
42,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
43,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
44,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
45,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
46,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
47,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
48,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Normalizer not implemented,2026-07-17
49,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
50,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
51,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
52,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
53,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
54,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
55,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
56,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
57,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
58,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
59,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
60,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
61,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
62,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
63,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
64,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
65,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
66,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
67,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
68,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
69,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
70,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
71,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
72,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
73,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
74,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
75,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
76,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
77,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
78,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
79,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
80,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
81,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
82,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
83,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
84,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
85,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
86,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
87,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
88,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
89,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
90,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
91,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
92,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
93,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
94,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
95,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
96,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
97,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
98,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
99,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
100,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
101,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
102,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
103,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
104,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
105,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
106,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
107,,catalogued,not_ready,not_ready,catalogued,unsupported,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
108,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
109,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
110,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
111,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
112,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
113,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
114,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
115,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
116,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
117,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
118,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
119,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
120,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
121,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
122,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
123,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
124,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
125,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
126,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
127,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
128,,catalogued,not_ready,not_ready,catalogued,planned,unsupported,planned,planned,planned,unsupported,,,Canonical network catalogued inactive; runtime integration and activation require separate evidence and approval,2026-07-17
